RiskID,Risk,Impact,Likelihood,Treatment,Owner,Status
P03-001,Incorrect TXT verification record,Microsoft 365 domain verification fails,Medium,Copy exact value from Microsoft 365 admin center,Cloud Administrator,Open
P03-002,Wrong MX record,Inbound email may fail,Medium,Delay MX cutover until mailbox readiness,Messaging Administrator,Open
P03-003,Multiple SPF records,SPF validation may fail,Medium,Maintain only one SPF TXT record,Messaging Administrator,Open
P03-004,Incorrect DKIM selector values,DKIM cannot be enabled,Medium,Copy exact Microsoft 365 CNAME values,Messaging Administrator,Open
P03-005,DMARC enforcement too early,Legitimate email may be rejected,Medium,Start with p=none,Messaging Administrator,Open
P03-006,Pilot UPN change causes sign-in issue,User cannot access Microsoft 365,Medium,Export current UPN and prepare rollback command,Identity Administrator,Open
P03-007,Changing too many users at once,Helpdesk ticket surge,Medium,Use pilot group first,IT Management,Open
P03-008,Internal and external DNS confusion,Wrong DNS records created in wrong zone,Medium,Keep AD DNS and public DNS separated,Cloud Administrator,Open
P03-009,Primary SMTP changed before mailbox readiness,Users may have incorrect or missing email addresses,Medium,Plan email addresses before applying mailbox changes,Messaging Administrator,Open
P03-010,Duplicate email proxy address,Mail delivery or address assignment may fail,Medium,Validate recipient addresses before changes,Messaging Administrator,Open
P03-011,MX auto-created by Domain Connect,Inbound mail may route to Microsoft 365 earlier than planned,Medium,Document MX state and validate mailbox readiness,Messaging Administrator,Open
P03-012,UPN and primary SMTP mismatch,Users may be confused by sign-in and sender address differences,Medium,Plan to align UPN and primary SMTP where appropriate,Identity Administrator,Open
