RiskID,Risk,Impact,Likelihood,Treatment,Owner,Status
DNS-001,Internal AD DNS unavailable,Users may fail to authenticate or access domain resources,Medium,Reduce with DC01/DC02 redundancy and AD-integrated DNS,IT Infrastructure,Open
DNS-002,Public DNS misconfigured,Microsoft 365 domain verification or mail delivery may fail,Medium,Reduce with documented DNS record plan and staged validation,Cloud Administrator,Open
DNS-003,Internal AD DNS exposed publicly,Internal AD records may be enumerated by attackers,Low,Avoid by using managed public DNS and keeping AD DNS private,Security Administrator,Open
DNS-004,Incorrect MX record,Inbound email may route to wrong mail system,Medium,Delay MX cutover until Project 03 validation,Messaging Administrator,Open
DNS-005,Incorrect SPF record,Mail may fail authentication or spoofing risk may increase,Medium,Use Microsoft 365 SPF format and validate after publishing,Messaging Administrator,Open
DNS-006,Overly strict DMARC policy too early,Legitimate mail may be rejected,Medium,Start with p=none for monitoring before enforcement,Messaging Administrator,Open
DNS-007,Unclear DNS ownership,Record updates may be delayed during incidents,Medium,Document DNS owner and hosting provider,IT Management,Open
DNS-008,Wrong public DNS hosting choice,Public DNS may become harder to operate or secure,Medium,Use managed DNS provider and document ownership,Cloud Administrator,Open
DNS-009,Incorrect Azure DNS delegation,Public domain may fail to resolve,Medium,Copy Azure DNS name servers carefully and validate delegation,Cloud Administrator,Open
DNS-010,Premature MX cutover,Inbound email may route incorrectly,Medium,Do not change MX until Project 03 mailbox validation,Messaging Administrator,Open
DNS-011,Public Windows DNS exposure,Public attack surface and open resolver risk,Low,Reject self-hosted public Windows DNS,Security Administrator,Closed by design
DNS-012,Incorrect Microsoft 365 verification TXT record,Domain verification may fail,Medium,Copy exact value from Microsoft 365 admin center,Cloud Administrator,Open
DNS-013,Incorrect MX record,Inbound email may fail or route to wrong destination,Medium,Delay MX cutover until mailbox readiness and validation,Messaging Administrator,Open
DNS-014,Multiple SPF records,SPF validation may fail,Medium,Maintain only one SPF TXT record per domain,Messaging Administrator,Open
DNS-015,DKIM CNAME values copied incorrectly,DKIM signing cannot be enabled,Medium,Copy selector values directly from Microsoft 365,Messaging Administrator,Open
DNS-016,DMARC policy too strict too early,Legitimate mail may be rejected,Medium,Start with p=none and review reports before enforcement,Messaging Administrator,Open
