RiskID,Risk,Impact,Likelihood,Treatment,Owner,Status
P08-001,Mail security policies applied tenant-wide too early,Legitimate mail disruption,Medium,Use pilot scope before broad enforcement,Security Administrator,Open
P08-002,Safe Links blocks legitimate URLs,User productivity impact,Medium,Safe Links configured only for pilot users before wider rollout,Security Administrator,Mitigated
P08-003,Safe Attachments delays or blocks legitimate attachments,Mail delivery delay or user disruption,Medium,Safe Attachments configured only for pilot users with Dynamic Delivery,Security Administrator,Mitigated
P08-004,Anti-phishing policy too aggressive,Legitimate sender messages quarantined,Medium,Pilot-only anti-phishing policy created before wider rollout,Security Administrator,Mitigated
P08-005,Quarantine message released incorrectly,Malicious message reaches user,Medium,No quarantined messages were released and workflow was documented only,Security Administrator,Mitigated
P08-006,Real phishing or malware used in testing,Security incident or policy violation,High,No real phishing malware credential harvesting URLs or malicious files were submitted,Security Administrator,Mitigated
P08-007,Private email content exposed in evidence,Privacy issue,Medium,Message body headers subjects previews and private mailbox content were excluded or sanitized,Security Administrator,Mitigated
P08-008,Public IP or location exposed in evidence,Privacy issue,Medium,No public IP or location fields were exported and screenshots require sanitization,Security Administrator,Mitigated
P08-009,Mail flow baseline incomplete,README may overstate validation,Medium,Accepted domains mailboxes EOP Defender transport rules and connector baseline exported,Messaging Administrator,Mitigated
P08-010,Rollback process missing,Policy issue recovery delayed,Medium,Create rollback and operational controls before final validation,Security Administrator,Open
P08-011,Accepted domain not validated,Policy scope may target wrong domain,Medium,Accepted domains exported and summitridge-mfg.com reviewed,Messaging Administrator,Mitigated
P08-012,Pilot mailbox readiness not validated,Policy testing may fail,Medium,Pilot mailbox readiness and statistics exported,Messaging Administrator,Mitigated
P08-013,EOP baseline not captured before changes,Policy rollback comparison unavailable,Medium,Anti-spam anti-malware and connection filter baselines exported before changes,Security Administrator,Mitigated
P08-014,Defender baseline not captured before changes,Safe Links Safe Attachments or anti-phishing changes may be undocumented,Medium,Anti-phishing Safe Links and Safe Attachments baseline exported,Security Administrator,Mitigated
P08-015,Connector IP details exposed in evidence,Privacy or security issue,Medium,Connector exports excluded IP address fields and connector IP lists,Messaging Administrator,Mitigated
P08-016,Transport rule baseline missing,Mail flow impact may be hard to troubleshoot,Medium,Transport rules exported before policy changes,Messaging Administrator,Mitigated
P08-017,Private message or routing details exposed,Privacy issue,Medium,Message headers mailbox content and routing details excluded from Batch 2 evidence,Security Administrator,Mitigated
P08-018,Anti-phishing policy scoped incorrectly,Wrong users affected by protection policy,Medium,Anti-phishing rule scoped only to pilot users,Security Administrator,Mitigated
P08-019,Anti-phishing policy created without matching rule,Policy does not apply to users,Medium,Anti-phishing rule created and validated after policy creation,Security Administrator,Mitigated
P08-020,Anti-spam baseline changed unintentionally,Mail filtering behavior changes unexpectedly,Medium,Anti-spam settings were reviewed only with no changes made,Security Administrator,Mitigated
P08-021,Anti-malware baseline changed unintentionally,Attachment or malware handling changes unexpectedly,Medium,Anti-malware settings were reviewed only with no changes made,Security Administrator,Mitigated
P08-022,Spoof intelligence evidence exposes sender infrastructure,Privacy or security issue,Medium,SendingInfrastructure was intentionally excluded from exports and screenshots sanitized,Security Administrator,Mitigated
P08-023,Tenant Allow/Block List evidence exposes sensitive entries,Privacy or security issue,Medium,Only list counts were exported and IP entries were not exported,Security Administrator,Mitigated
P08-024,Spoofed sender portal shows no data and is misunderstood,Validation confusion,Low,No spoof data result documented as acceptable for small lab tenant,Security Administrator,Mitigated
P08-025,Safe Links policy created without matching rule,Policy does not apply to users,Medium,Safe Links rule created and validated after policy creation,Security Administrator,Mitigated
P08-026,Safe Attachments policy created without matching rule,Policy does not apply to users,Medium,Safe Attachments rule created and validated after policy creation,Security Administrator,Mitigated
P08-027,Safe Links scoped too broadly,Tenant-wide URL protection impact,Medium,Safe Links rule scoped only to pilot users,Security Administrator,Mitigated
P08-028,Safe Attachments scoped too broadly,Tenant-wide attachment delivery impact,Medium,Safe Attachments rule scoped only to pilot users,Security Administrator,Mitigated
P08-029,Preset security policies enabled tenant-wide too early,Broad mail security behavior change,Medium,Standard and Strict preset policies reviewed only and not expanded tenant-wide,Security Administrator,Mitigated
P08-030,Policy validation missing after creation,README may overstate protection configuration,Medium,Safe Links and Safe Attachments after-state evidence exported,Security Administrator,Mitigated
P08-031,Public IP or location exposed in Safe Links or attachment evidence,Privacy issue,Medium,No IP or location fields exported and screenshots must be sanitized,Security Administrator,Mitigated
P08-032,Quarantined message deleted incorrectly,Loss of evidence or legitimate message,Medium,No quarantined messages were deleted during Batch 5,Security Administrator,Mitigated
P08-033,Threat submission exposes sensitive content,Privacy or security issue,Medium,Threat submissions were reviewed only and no sensitive content was uploaded,Security Administrator,Mitigated
P08-034,Real malicious URL submitted,Security risk or policy violation,High,No credential harvesting or malicious URLs were submitted,Security Administrator,Mitigated
P08-035,Real malware uploaded during attachment or file submission,Security incident risk,High,No malware or sensitive files were uploaded,Security Administrator,Mitigated
P08-036,Alert remediation performed without approval,Unexpected message or security action,Medium,Alerts and incidents were reviewed only with no remediation performed,Security Administrator,Mitigated
P08-037,No quarantine or alert activity available,Validation confusion,Low,No-data result documented as acceptable for small lab tenant,Security Administrator,Mitigated
P08-038,Investigation workflow not documented,Operational evidence incomplete,Medium,Threat submission alert incident and investigation workflow matrices were created,Security Administrator,Mitigated
P08-039,Mail flow validation not completed,Project cannot prove pilot mail behavior,Medium,Safe pilot messages were sent and message trace evidence exported,Messaging Administrator,Mitigated
P08-040,Message trace exports expose sensitive fields,Privacy issue,Medium,Message trace exported without subject body headers IP fields or routing details,Messaging Administrator,Mitigated
P08-041,Deprecated message trace cmdlet used,Future command compatibility issue,Low,Get-MessageTraceV2 used and documented,Messaging Administrator,Mitigated
P08-042,Safe test messages mistaken for real threat testing,Portfolio accuracy issue,Low,Safe mail flow test note documents plain-text lab messages only,Security Administrator,Mitigated
P08-043,Real phishing or malware used during mail flow validation,Security incident risk,High,Only safe plain-text internal messages were used,Security Administrator,Mitigated
P08-044,Pilot policy state not validated after mail flow testing,README may overstate configured protection,Medium,Final pilot policy state exported for anti-phishing Safe Links and Safe Attachments,Security Administrator,Mitigated
P08-045,Defender monitoring has no threat detections,Validation confusion,Low,No-detection result documented as expected because safe messages were used,Security Administrator,Mitigated
P08-046,Portal screenshots expose mailbox content or routing details,Privacy issue,Medium,Screenshots must be sanitized and no headers or routing details captured,Security Administrator,Mitigated
P08-047,Message trace evidence exposes public IP or location,Privacy issue,Medium,No IP or location fields exported in Batch 6 message trace evidence,Messaging Administrator,Mitigated
