
Name                DistinguishedName
----                -----------------
Admin               OU=Admin,OU=Groups,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Admin               OU=Admin,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Application Servers OU=Application Servers,OU=Servers,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Department          OU=Department,OU=Groups,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Disabled Objects    OU=Disabled Objects,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Executives          OU=Executives,OU=Users,OU=SRMG,DC=corp,DC=democompany1016,DC=local
FileAccess          OU=FileAccess,OU=Groups,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Finance             OU=Finance,OU=Users,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Groups              OU=Groups,OU=SRMG,DC=corp,DC=democompany1016,DC=local
HR                  OU=HR,OU=Users,OU=SRMG,DC=corp,DC=democompany1016,DC=local
IT                  OU=IT,OU=Users,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Licensing           OU=Licensing,OU=Groups,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Management          OU=Management,OU=Servers,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Member Servers      OU=Member Servers,OU=Servers,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Operations          OU=Operations,OU=Users,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Sales               OU=Sales,OU=Users,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Servers             OU=Servers,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Service Accounts    OU=Service Accounts,OU=SRMG,DC=corp,DC=democompany1016,DC=local
SRMG                OU=SRMG,DC=corp,DC=democompany1016,DC=local
Staging             OU=Staging,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Tier0               OU=Tier0,OU=Admin,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Tier1               OU=Tier1,OU=Admin,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Tier2               OU=Tier2,OU=Admin,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Users               OU=Users,OU=SRMG,DC=corp,DC=democompany1016,DC=local
Workstations        OU=Workstations,OU=SRMG,DC=corp,DC=democompany1016,DC=local

