"GroupName","Status","Notes"
"SG-LIC-M365-E3","Created","Group created successfully"
"SG-DEPT-HR","Created","Group created successfully"
"SG-DEPT-FINANCE","Created","Group created successfully"
"SG-DEPT-SALES","Created","Group created successfully"
"SG-DEPT-OPERATIONS","Created","Group created successfully"
"SG-DEPT-IT","Created","Group created successfully"
"SG-DEPT-EXEC","Created","Group created successfully"
"SG-PILOT-CA-MFA","Created","Group created successfully"
"SG-EXCLUDE-EMERGENCY-ACCESS","Created","Group created successfully"
"SG-ADMIN-HELPDESK","Created","Group created successfully"
"SG-ADMIN-IDENTITY","Created","Group created successfully"
"SG-ADMIN-EXCHANGE","Created","Group created successfully"
"SG-ADMIN-SHAREPOINT","Created","Group created successfully"
