
ClientId               : 14d82eec-204b-4c2f-b7e8-296a70dab67e
TenantId               : def8b52a-5647-46da-a21a-eae01169465e
Scopes                 : {Directory.Read.All, Domain.Read.All, openid, profile…}
AuthType               : Delegated
TokenCredentialType    : InteractiveBrowser
CertificateThumbprint  : 
CertificateSubjectName : 
SendCertificateChain   : False
Account                : SeungHunJeong@democompany1016.onmicrosoft.com
AppName                : Microsoft Graph Command Line Tools
ContextScope           : CurrentUser
Certificate            : 
PSHostVersion          : 7.6.1
ManagedIdentityId      : 
ClientSecret           : 
Environment            : Global
WamEnabled             : True

